open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-06-03 02:00:00,4.198,4.198,4.171,4.171,25.71,2025-06-03 02:59:59.999,107.51091,4,18.89,79.06469
2025-06-03 03:00:00,4.148,4.148,4.148,4.148,12.06,2025-06-03 03:59:59.999,50.02488,1,0.0,0.0
2025-06-03 04:00:00,4.141,4.141,4.141,4.141,10.0,2025-06-03 04:59:59.999,41.41,1,10.0,41.41
2025-06-03 05:00:00,4.151,4.153,4.151,4.153,12.64,2025-06-03 05:59:59.999,52.49272,2,0.6,2.4906
2025-06-03 06:00:00,4.153,4.153,4.153,4.153,0.0,2025-06-03 06:59:59.999,0.0,0,0.0,0.0
2025-06-03 07:00:00,4.182,4.182,4.182,4.182,0.6,2025-06-03 07:59:59.999,2.5092,2,0.6,2.5092
2025-06-03 08:00:00,4.142,4.142,4.141,4.141,36.46,2025-06-03 08:59:59.999,151.01672,2,0.0,0.0
2025-06-03 09:00:00,4.142,4.142,4.141,4.141,6.0,2025-06-03 09:59:59.999,24.8511,2,0.0,0.0
2025-06-03 10:00:00,4.165,4.171,4.165,4.171,7.11,2025-06-03 10:59:59.999,29.64873,3,7.11,29.64873
2025-06-03 11:00:00,4.182,4.183,4.182,4.183,92.65,2025-06-03 11:59:59.999,387.51071,3,92.65,387.51071
2025-06-03 12:00:00,4.142,4.142,4.129,4.129,86.98,2025-06-03 12:59:59.999,359.52267,4,57.53,237.54137
2025-06-03 13:00:00,4.161,4.161,4.152,4.152,18.99,2025-06-03 13:59:59.999,78.98467,3,14.99,62.37339
2025-06-03 14:00:00,4.16,4.197,4.138,4.197,139.08,2025-06-03 14:59:59.999,576.88262,5,42.43,176.9401
2025-06-03 15:00:00,4.194,4.194,4.192,4.192,14.37,2025-06-03 15:59:59.999,60.24292,2,0.0,0.0
2025-06-03 16:00:00,4.192,4.192,4.192,4.192,0.0,2025-06-03 16:59:59.999,0.0,0,0.0,0.0
2025-06-03 17:00:00,4.183,4.183,4.142,4.182,207.63,2025-06-03 17:59:59.999,863.84516,6,0.0,0.0
2025-06-03 18:00:00,4.179,4.179,4.179,4.179,9.47,2025-06-03 18:59:59.999,39.57513,1,0.0,0.0
2025-06-03 19:00:00,4.196,4.196,4.173,4.174,50.03,2025-06-03 19:59:59.999,208.86712,6,0.0,0.0
2025-06-03 20:00:00,4.141,4.141,4.141,4.141,0.6,2025-06-03 20:59:59.999,2.4846,1,0.0,0.0
2025-06-03 21:00:00,4.141,4.141,4.101,4.101,21.22,2025-06-03 21:59:59.999,87.71294,4,0.0,0.0
2025-06-03 22:00:00,4.131,4.141,4.131,4.141,21.16,2025-06-03 22:59:59.999,87.41796,2,21.16,87.41796
2025-06-03 23:00:00,4.158,4.158,4.148,4.148,7.21,2025-06-03 23:59:59.999,29.93108,2,7.21,29.93108
2025-06-04 00:00:00,4.134,4.163,4.133,4.163,25.02,2025-06-04 00:59:59.999,103.57179,3,5.37,22.35531
2025-06-04 01:00:00,4.149,4.194,3.942,4.194,980.67,2025-06-04 01:59:59.999,4036.75268,67,98.49,411.86517
2025-06-04 02:00:00,4.199,4.199,4.181,4.181,144.58,2025-06-04 02:59:59.999,605.5032,4,144.08,603.4127
2025-06-04 03:00:00,4.181,4.202,4.181,4.201,54.7,2025-06-04 03:59:59.999,229.53344,5,54.7,229.53344
2025-06-04 04:00:00,4.165,4.204,4.154,4.204,435.3,2025-06-04 04:59:59.999,1810.09561,7,0.99,4.16196
2025-06-04 05:00:00,4.206,4.209,4.187,4.187,54.99,2025-06-04 05:59:59.999,230.88851,12,54.99,230.88851
2025-06-04 06:00:00,4.194,4.194,4.194,4.194,0.48,2025-06-04 06:59:59.999,2.01312,1,0.48,2.01312
2025-06-04 07:00:00,4.194,4.194,4.194,4.194,0.0,2025-06-04 07:59:59.999,0.0,0,0.0,0.0
2025-06-04 08:00:00,4.194,4.194,4.194,4.194,0.0,2025-06-04 08:59:59.999,0.0,0,0.0,0.0
2025-06-04 09:00:00,4.178,4.178,4.178,4.178,10.0,2025-06-04 09:59:59.999,41.78,1,10.0,41.78
2025-06-04 10:00:00,4.178,4.178,4.178,4.178,0.0,2025-06-04 10:59:59.999,0.0,0,0.0,0.0
2025-06-04 11:00:00,4.141,4.141,4.141,4.141,0.6,2025-06-04 11:59:59.999,2.4846,1,0.0,0.0
2025-06-04 12:00:00,4.108,4.108,4.085,4.088,196.38,2025-06-04 12:59:59.999,804.47298,11,163.76,670.76892
2025-06-04 13:00:00,4.071,4.071,4.061,4.061,31.28,2025-06-04 13:59:59.999,127.12958,7,0.0,0.0
2025-06-04 14:00:00,4.056,4.056,4.056,4.056,6.14,2025-06-04 14:59:59.999,24.90384,1,0.0,0.0
2025-06-04 15:00:00,4.101,4.101,4.101,4.101,0.6,2025-06-04 15:59:59.999,2.4606,1,0.6,2.4606
2025-06-04 16:00:00,4.073,4.093,4.07,4.093,289.76,2025-06-04 16:59:59.999,1181.34259,8,85.92,351.6084
2025-06-04 17:00:00,4.062,4.062,4.038,4.038,50.28,2025-06-04 17:59:59.999,203.24828,5,0.0,0.0
2025-06-04 18:00:00,4.065,4.07,4.065,4.07,19.78,2025-06-04 18:59:59.999,80.5021,2,19.28,78.4696
2025-06-04 19:00:00,4.059,4.059,4.058,4.058,18.58,2025-06-04 19:59:59.999,75.39887,2,18.58,75.39887
2025-06-04 20:00:00,4.031,4.031,3.933,3.994,816.2,2025-06-04 20:59:59.999,3259.34731,26,0.0,0.0
2025-06-04 21:00:00,3.988,4.031,3.988,4.031,258.5,2025-06-04 21:59:59.999,1034.18518,7,133.37,534.50777
2025-06-04 22:00:00,4.036,4.036,4.036,4.036,61.8,2025-06-04 22:59:59.999,249.4248,2,61.8,249.4248
2025-06-04 23:00:00,4.031,4.032,3.994,3.994,62.34,2025-06-04 23:59:59.999,251.28984,3,61.8,249.13308
2025-06-05 00:00:00,4.003,4.025,4.003,4.025,72.77,2025-06-05 00:59:59.999,291.38367,3,24.95,99.87485
2025-06-05 01:00:00,4.025,4.025,4.025,4.025,0.0,2025-06-05 01:59:59.999,0.0,0,0.0,0.0
