open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-05-01 00:00:00,83.77,84.57,83.41,84.45,19.848,2025-05-01 00:59:59.999,1666.98689,29,19.675,1652.54802
2025-05-01 01:00:00,84.45,84.65,84.45,84.54,2.907,2025-05-01 01:59:59.999,245.76629,5,0.296,25.02146
2025-05-01 02:00:00,84.82,84.9,84.31,84.72,0.955,2025-05-01 02:59:59.999,80.71016,5,0.873,73.75492
2025-05-01 03:00:00,84.55,84.61,84.2,84.2,0.685,2025-05-01 03:59:59.999,57.88566,4,0.323,27.32507
2025-05-01 04:00:00,84.27,84.27,84.2,84.2,1.246,2025-05-01 04:59:59.999,104.91733,2,0.059,4.97193
2025-05-01 05:00:00,84.56,84.89,84.36,84.89,2.1,2025-05-01 05:59:59.999,177.94597,5,2.042,173.05309
2025-05-01 06:00:00,84.33,84.89,84.33,84.65,1.342,2025-05-01 06:59:59.999,113.76074,5,1.252,106.17104
2025-05-01 07:00:00,84.64,85.09,84.6,85.09,31.673,2025-05-01 07:59:59.999,2683.04491,15,31.597,2676.60011
2025-05-01 08:00:00,85.09,85.67,84.97,85.67,15.899,2025-05-01 08:59:59.999,1359.52847,25,14.393,1231.39781
2025-05-01 09:00:00,85.66,85.73,85.33,85.51,26.991,2025-05-01 09:59:59.999,2310.14043,25,21.914,1876.54669
2025-05-01 10:00:00,85.47,86.64,85.47,86.64,3.136,2025-05-01 10:59:59.999,269.41919,18,1.489,128.54189
2025-05-01 11:00:00,86.64,87.08,86.64,86.82,39.043,2025-05-01 11:59:59.999,3390.84017,24,11.136,967.70932
2025-05-01 12:00:00,87.1,87.25,85.88,87.12,31.196,2025-05-01 12:59:59.999,2702.82537,31,5.971,519.61699
2025-05-01 13:00:00,87.08,87.09,86.26,86.26,23.563,2025-05-01 13:59:59.999,2051.6525,10,23.065,2008.47833
2025-05-01 14:00:00,86.26,87.33,86.01,87.33,6.529,2025-05-01 14:59:59.999,563.06759,9,2.125,184.14051
2025-05-01 15:00:00,87.31,88.06,87.27,87.65,22.917,2025-05-01 15:59:59.999,2007.65846,38,16.084,1411.01631
2025-05-01 16:00:00,87.9,89.68,87.87,88.55,66.483,2025-05-01 16:59:59.999,5900.88609,102,35.726,3178.21471
2025-05-01 17:00:00,88.31,88.81,88.17,88.53,27.39,2025-05-01 17:59:59.999,2417.901,13,18.964,1674.92059
2025-05-01 18:00:00,88.56,89.35,88.33,89.35,15.542,2025-05-01 18:59:59.999,1375.97933,12,6.798,602.49609
2025-05-01 19:00:00,89.29,89.74,89.29,89.61,12.092,2025-05-01 19:59:59.999,1083.17666,21,10.677,956.7594
2025-05-01 20:00:00,89.75,90.45,89.75,90.39,30.656,2025-05-01 20:59:59.999,2756.81422,29,30.563,2748.44608
2025-05-01 21:00:00,90.52,91.01,90.41,90.41,41.691,2025-05-01 21:59:59.999,3779.10536,28,41.608,3771.5992
2025-05-01 22:00:00,89.91,89.91,88.39,89.1,24.006,2025-05-01 22:59:59.999,2143.40615,33,0.422,37.87337
2025-05-01 23:00:00,89.33,89.43,88.94,88.94,82.38,2025-05-01 23:59:59.999,7343.96228,107,72.21,6438.41402
2025-05-02 00:00:00,88.93,90.01,88.67,89.89,13.031,2025-05-02 00:59:59.999,1162.76805,78,10.064,897.94738
2025-05-02 01:00:00,90.27,90.27,89.34,89.44,14.216,2025-05-02 01:59:59.999,1274.1445,9,0.89,79.8075
2025-05-02 02:00:00,89.5,90.56,89.5,90.56,50.565,2025-05-02 02:59:59.999,4542.10332,15,50.543,4540.12684
2025-05-02 03:00:00,90.61,90.95,90.06,90.07,13.956,2025-05-02 03:59:59.999,1266.6575,17,12.56,1140.48878
2025-05-02 04:00:00,90.09,90.09,89.08,89.29,17.031,2025-05-02 04:59:59.999,1522.87099,23,2.054,183.8051
2025-05-02 05:00:00,88.94,88.94,88.63,88.63,3.579,2025-05-02 05:59:59.999,317.77958,13,0.371,32.97226
2025-05-02 06:00:00,88.69,88.72,88.39,88.39,10.376,2025-05-02 06:59:59.999,919.5586,11,7.928,703.15618
2025-05-02 07:00:00,88.37,88.37,88.08,88.09,7.174,2025-05-02 07:59:59.999,633.15816,14,0.083,7.32822
2025-05-02 08:00:00,88.42,88.6,88.42,88.6,3.52,2025-05-02 08:59:59.999,311.5552,3,3.0,265.53
2025-05-02 09:00:00,88.55,88.61,88.42,88.61,6.315,2025-05-02 09:59:59.999,558.81418,4,2.776,245.89136
2025-05-02 10:00:00,88.37,88.88,88.26,88.88,12.344,2025-05-02 10:59:59.999,1092.96501,7,6.822,605.42829
2025-05-02 11:00:00,88.99,88.99,88.68,88.7,7.287,2025-05-02 11:59:59.999,646.78736,4,0.0,0.0
2025-05-02 12:00:00,88.63,89.36,88.47,89.04,14.331,2025-05-02 12:59:59.999,1271.84784,9,4.59,407.92026
2025-05-02 13:00:00,88.47,88.59,88.09,88.09,21.534,2025-05-02 13:59:59.999,1904.02747,16,16.675,1474.7607
2025-05-02 14:00:00,88.12,89.41,88.12,89.41,44.835,2025-05-02 14:59:59.999,3992.64879,16,40.393,3601.21429
2025-05-02 15:00:00,89.22,89.22,88.16,88.3,22.385,2025-05-02 15:59:59.999,1979.83743,13,14.834,1310.3558
2025-05-02 16:00:00,88.31,89.21,88.31,88.68,13.29,2025-05-02 16:59:59.999,1181.19454,11,3.056,272.20576
2025-05-02 17:00:00,88.08,88.08,87.98,87.98,12.151,2025-05-02 17:59:59.999,1069.30013,4,0.0,0.0
2025-05-02 18:00:00,88.1,88.19,87.61,87.61,9.979,2025-05-02 18:59:59.999,877.98078,14,1.534,134.8692
2025-05-02 19:00:00,87.58,87.79,87.42,87.42,12.315,2025-05-02 19:59:59.999,1077.36244,14,1.585,138.82715
2025-05-02 20:00:00,87.55,87.99,87.52,87.93,8.653,2025-05-02 20:59:59.999,760.10624,7,7.296,641.28126
2025-05-02 21:00:00,87.85,87.87,86.92,87.32,36.484,2025-05-02 21:59:59.999,3179.76428,30,19.7,1715.84666
