open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-06-03 02:00:00,21.66,21.66,21.47,21.47,391.03,2025-06-03 02:59:59.999,8439.3545,26,140.24,3022.31
2025-06-03 03:00:00,21.36,21.36,21.31,21.35,2.49,2025-06-03 03:59:59.999,53.1299,4,1.7,36.288
2025-06-03 04:00:00,21.28,21.28,21.16,21.16,13.31,2025-06-03 04:59:59.999,282.7062,15,1.87,39.6369
2025-06-03 05:00:00,21.22,21.43,21.16,21.43,84.19,2025-06-03 05:59:59.999,1787.0795,9,77.33,1641.7674
2025-06-03 06:00:00,21.43,21.43,21.43,21.43,0.0,2025-06-03 06:59:59.999,0.0,0,0.0,0.0
2025-06-03 07:00:00,21.41,21.41,21.41,21.41,13.94,2025-06-03 07:59:59.999,298.4554,2,0.0,0.0
2025-06-03 08:00:00,21.18,21.18,21.18,21.18,0.14,2025-06-03 08:59:59.999,2.9652,1,0.0,0.0
2025-06-03 09:00:00,21.16,21.16,21.16,21.16,3.39,2025-06-03 09:59:59.999,71.7324,2,0.0,0.0
2025-06-03 10:00:00,21.16,21.16,21.16,21.16,0.0,2025-06-03 10:59:59.999,0.0,0,0.0,0.0
2025-06-03 11:00:00,21.22,21.22,21.21,21.21,13.05,2025-06-03 11:59:59.999,276.8711,3,8.06,171.0332
2025-06-03 12:00:00,21.23,21.27,21.17,21.19,16.32,2025-06-03 12:59:59.999,345.9911,11,0.94,19.9938
2025-06-03 13:00:00,21.22,21.38,21.22,21.38,6.03,2025-06-03 13:59:59.999,128.125,4,0.14,2.9904
2025-06-03 14:00:00,21.31,21.36,21.18,21.36,7.72,2025-06-03 14:59:59.999,164.1555,5,2.63,56.0523
2025-06-03 15:00:00,21.55,21.55,21.55,21.55,0.1,2025-06-03 15:59:59.999,2.155,1,0.1,2.155
2025-06-03 16:00:00,21.55,21.55,21.55,21.55,0.0,2025-06-03 16:59:59.999,0.0,0,0.0,0.0
2025-06-03 17:00:00,21.4,21.47,21.4,21.42,92.4,2025-06-03 17:59:59.999,1977.503,12,88.4,1891.774
2025-06-03 18:00:00,21.41,21.41,21.3,21.33,110.3,2025-06-03 18:59:59.999,2350.7086,10,24.87,530.5256
2025-06-03 19:00:00,21.53,21.53,21.47,21.53,17.13,2025-06-03 19:59:59.999,368.5623,16,17.05,366.8447
2025-06-03 20:00:00,21.43,21.43,21.09,21.19,45.23,2025-06-03 20:59:59.999,957.4061,15,25.79,544.8873
2025-06-03 21:00:00,21.19,21.23,20.91,20.91,51.32,2025-06-03 21:59:59.999,1079.1318,13,14.57,308.7333
2025-06-03 22:00:00,20.99,21.21,20.99,21.21,20.87,2025-06-03 22:59:59.999,440.1401,6,20.79,438.4433
2025-06-03 23:00:00,21.1,21.13,21.06,21.08,7.55,2025-06-03 23:59:59.999,159.2192,10,2.76,58.2564
2025-06-04 00:00:00,21.2,21.2,21.08,21.08,3.49,2025-06-04 00:59:59.999,73.8512,2,2.35,49.82
2025-06-04 01:00:00,21.33,21.54,21.33,21.47,20.62,2025-06-04 01:59:59.999,442.4453,12,20.62,442.4453
2025-06-04 02:00:00,21.52,21.61,21.46,21.46,22.75,2025-06-04 02:59:59.999,489.5537,13,8.67,186.7732
2025-06-04 03:00:00,21.44,21.57,21.44,21.51,24.3,2025-06-04 03:59:59.999,522.4224,4,5.43,116.479
2025-06-04 04:00:00,21.51,21.51,21.51,21.51,0.0,2025-06-04 04:59:59.999,0.0,0,0.0,0.0
2025-06-04 05:00:00,21.36,21.38,21.32,21.38,2.57,2025-06-04 05:59:59.999,54.8724,11,0.68,14.5384
2025-06-04 06:00:00,21.51,21.55,21.51,21.55,14.45,2025-06-04 06:59:59.999,310.8362,3,14.45,310.8362
2025-06-04 07:00:00,21.55,21.55,21.55,21.55,0.0,2025-06-04 07:59:59.999,0.0,0,0.0,0.0
2025-06-04 08:00:00,21.46,21.46,21.41,21.41,0.88,2025-06-04 08:59:59.999,18.8618,3,0.42,9.0132
2025-06-04 09:00:00,21.41,21.41,21.36,21.36,0.52,2025-06-04 09:59:59.999,11.1262,2,0.0,0.0
2025-06-04 10:00:00,21.36,21.36,21.21,21.21,12.05,2025-06-04 10:59:59.999,256.3814,3,10.18,216.6813
2025-06-04 11:00:00,21.18,21.18,21.06,21.08,85.54,2025-06-04 11:59:59.999,1803.5457,21,72.18,1521.0924
2025-06-04 12:00:00,21.04,21.04,20.96,20.99,3.48,2025-06-04 12:59:59.999,73.1351,7,0.22,4.6178
2025-06-04 13:00:00,20.92,20.92,20.85,20.85,23.06,2025-06-04 13:59:59.999,481.6002,15,0.0,0.0
2025-06-04 14:00:00,20.84,20.94,20.77,20.94,23.54,2025-06-04 14:59:59.999,491.88,8,19.12,399.9638
2025-06-04 15:00:00,20.94,21.12,20.94,21.12,6.72,2025-06-04 15:59:59.999,140.8632,3,0.83,17.5266
2025-06-04 16:00:00,21.05,21.07,21.0,21.07,24.56,2025-06-04 16:59:59.999,517.0075,5,24.17,508.8175
2025-06-04 17:00:00,20.99,20.99,20.94,20.94,6.43,2025-06-04 17:59:59.999,134.6602,2,0.32,6.7168
2025-06-04 18:00:00,20.88,20.88,20.88,20.88,10.14,2025-06-04 18:59:59.999,211.7232,3,10.14,211.7232
2025-06-04 19:00:00,20.85,20.85,20.7,20.7,21.29,2025-06-04 19:59:59.999,441.0,8,0.48,10.008
