open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-06-03 02:00:00,14.39,14.4,14.18,14.22,23.09,2025-06-03 02:59:59.999,330.8673,44,11.88,170.7035
2025-06-03 03:00:00,14.24,14.24,14.13,14.13,10.58,2025-06-03 03:59:59.999,149.8443,13,3.25,46.1912
2025-06-03 04:00:00,14.1,14.11,14.06,14.06,14.85,2025-06-03 04:59:59.999,209.077,8,1.69,23.8144
2025-06-03 05:00:00,14.14,14.14,14.11,14.11,38.22,2025-06-03 05:59:59.999,539.2942,7,2.62,36.9762
2025-06-03 06:00:00,14.14,14.14,14.14,14.14,1.3,2025-06-03 06:59:59.999,18.382,1,0.0,0.0
2025-06-03 07:00:00,14.14,14.14,14.14,14.14,0.0,2025-06-03 07:59:59.999,0.0,0,0.0,0.0
2025-06-03 08:00:00,14.07,14.07,14.02,14.02,106.18,2025-06-03 08:59:59.999,1493.9326,6,0.75,10.545
2025-06-03 09:00:00,14.01,14.01,14.01,14.01,1.64,2025-06-03 09:59:59.999,22.9764,1,0.0,0.0
2025-06-03 10:00:00,14.12,14.12,14.12,14.12,10.63,2025-06-03 10:59:59.999,150.0956,3,10.63,150.0956
2025-06-03 11:00:00,14.13,14.13,14.13,14.13,4.3,2025-06-03 11:59:59.999,60.759,2,0.25,3.5325
2025-06-03 12:00:00,14.13,14.13,14.13,14.13,1.76,2025-06-03 12:59:59.999,24.8688,1,1.76,24.8688
2025-06-03 13:00:00,14.18,14.29,14.15,14.19,59.32,2025-06-03 13:59:59.999,842.5636,14,25.55,362.903
2025-06-03 14:00:00,14.19,14.36,14.09,14.36,10.72,2025-06-03 14:59:59.999,153.1634,9,10.06,143.848
2025-06-03 15:00:00,14.36,14.42,14.33,14.36,28.34,2025-06-03 15:59:59.999,407.1036,10,19.76,283.9233
2025-06-03 16:00:00,14.36,14.36,14.36,14.36,0.0,2025-06-03 16:59:59.999,0.0,0,0.0,0.0
2025-06-03 17:00:00,14.24,14.38,14.24,14.34,40.43,2025-06-03 17:59:59.999,580.3331,13,4.42,63.3623
2025-06-03 18:00:00,14.28,14.28,14.25,14.25,30.47,2025-06-03 18:59:59.999,434.4522,4,8.49,121.2372
2025-06-03 19:00:00,14.33,14.36,14.32,14.36,14.49,2025-06-03 19:59:59.999,207.639,4,12.75,182.7048
2025-06-03 20:00:00,14.24,14.24,14.1,14.1,69.84,2025-06-03 20:59:59.999,986.0211,15,6.67,94.3138
2025-06-03 21:00:00,14.2,14.2,14.0,14.0,34.3,2025-06-03 21:59:59.999,481.9575,15,3.74,52.9181
2025-06-03 22:00:00,14.13,14.13,14.13,14.13,0.25,2025-06-03 22:59:59.999,3.5325,1,0.25,3.5325
2025-06-03 23:00:00,14.15,14.15,14.15,14.15,1.03,2025-06-03 23:59:59.999,14.5745,1,0.0,0.0
2025-06-04 00:00:00,14.18,14.22,14.09,14.22,24.11,2025-06-04 00:59:59.999,341.0701,88,24.11,341.0701
2025-06-04 01:00:00,14.24,14.35,14.24,14.32,82.99,2025-06-04 01:59:59.999,1188.504,20,27.23,390.5192
2025-06-04 02:00:00,14.35,14.38,14.32,14.32,53.8,2025-06-04 02:59:59.999,772.5031,7,51.7,742.4311
2025-06-04 03:00:00,14.37,14.39,14.37,14.39,4.19,2025-06-04 03:59:59.999,60.2379,3,4.19,60.2379
2025-06-04 04:00:00,14.33,14.38,14.32,14.38,111.66,2025-06-04 04:59:59.999,1599.7465,5,9.58,137.4937
2025-06-04 05:00:00,14.39,14.41,14.39,14.41,14.24,2025-06-04 05:59:59.999,205.0568,4,14.24,205.0568
2025-06-04 06:00:00,14.29,14.29,14.26,14.26,11.49,2025-06-04 06:59:59.999,164.1714,2,0.0,0.0
2025-06-04 07:00:00,14.27,14.27,14.27,14.27,1.12,2025-06-04 07:59:59.999,15.9824,1,1.12,15.9824
2025-06-04 08:00:00,14.35,14.39,14.35,14.39,12.05,2025-06-04 08:59:59.999,173.0563,2,12.05,173.0563
2025-06-04 09:00:00,14.39,14.39,14.39,14.39,3.18,2025-06-04 09:59:59.999,45.7602,1,3.18,45.7602
2025-06-04 10:00:00,14.42,14.46,14.34,14.34,64.2,2025-06-04 10:59:59.999,926.9047,8,62.46,901.9282
2025-06-04 11:00:00,14.24,14.24,14.24,14.24,10.99,2025-06-04 11:59:59.999,156.4976,3,10.54,150.0896
2025-06-04 12:00:00,14.17,14.17,14.1,14.1,7.38,2025-06-04 12:59:59.999,104.3667,6,0.65,9.2105
2025-06-04 13:00:00,14.09,14.13,14.07,14.11,26.94,2025-06-04 13:59:59.999,379.8232,5,0.0,0.0
2025-06-04 14:00:00,14.07,14.07,14.0,14.04,26.44,2025-06-04 14:59:59.999,370.2362,9,15.16,212.2904
2025-06-04 15:00:00,14.13,14.2,14.13,14.2,15.47,2025-06-04 15:59:59.999,219.2773,3,0.25,3.5325
2025-06-04 16:00:00,14.2,14.2,14.2,14.2,0.0,2025-06-04 16:59:59.999,0.0,0,0.0,0.0
2025-06-04 17:00:00,14.09,14.09,13.97,13.97,61.29,2025-06-04 17:59:59.999,857.9252,8,39.72,556.4034
2025-06-04 18:00:00,14.03,14.03,14.03,14.03,30.11,2025-06-04 18:59:59.999,422.4433,4,30.11,422.4433
2025-06-04 19:00:00,13.96,13.96,13.92,13.93,190.33,2025-06-04 19:59:59.999,2653.046,17,112.83,1572.9208
2025-06-04 20:00:00,13.9,13.9,13.74,13.79,66.47,2025-06-04 20:59:59.999,916.6844,19,16.22,223.9413
2025-06-04 21:00:00,13.76,13.92,13.76,13.92,127.99,2025-06-04 21:59:59.999,1761.2791,11,83.64,1151.0231
2025-06-04 22:00:00,13.86,13.92,13.79,13.79,129.4,2025-06-04 22:59:59.999,1788.2067,8,21.5,299.28
2025-06-04 23:00:00,13.83,13.86,13.82,13.83,11.03,2025-06-04 23:59:59.999,152.483,5,10.19,140.8625
2025-06-05 00:00:00,13.82,13.87,13.79,13.82,21.12,2025-06-05 00:59:59.999,292.2066,87,20.3,280.8742
2025-06-05 01:00:00,13.86,13.87,13.86,13.87,1.69,2025-06-05 01:59:59.999,23.4249,2,1.69,23.4249
