symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ENJUSD,0.0,0.0,0.0,0.2842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ONTUSD,0.0,0.0,0.0,0.1867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ZILUSD,-0.0001,-0.882,0.01107448,0.01133,0.01124,457.7,0.0112,11335.2,0.01125,92512.8,0.01134,0.01156,0.0108,583085.8,6457.370077,2025-05-30 17:35:30.866,2025-05-31 17:35:30.866,4427236,4427318,83
VETUSD,-0.00089,-3.543,0.02456077,0.02512,0.02423,30263.8,0.0242,2067.4,0.02423,3116.5,0.02512,0.0252,0.0232,462776.5,11366.146613,2025-05-30 17:35:44.389,2025-05-31 17:35:44.389,13629909,13629954,46
XTZUSD,0.0,0.0,0.0,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
HBARUSD,-0.00099,-0.578,0.16361433,0.16979,0.17025,277.0,0.16833,30603.0,0.17621,1122.0,0.17124,0.17214,0.16215,109538.0,17921.98698,2025-05-30 17:35:46.599,2025-05-31 17:35:46.599,7396545,7396685,141
OMGUSD,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
MATICUSD,0.0,0.0,0.0,0.6867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
EOSUSD,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
DOGEUSD,-0.00456,-2.302,0.19330473,0.19655,0.19352,1034.0,0.19247,7834.0,0.19273,699.0,0.19808,0.2003,0.18607,75001.0,14498.04797,2025-05-30 17:35:58.183,2025-05-31 17:35:58.183,24109944,24110005,62
KNCUSD,0.0,0.0,0.0,0.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
